#{"t_start": 1612828669.4251776, "env_id": "Rotpen-250-v0"}
r,l,t
0.000284,1500,1388.553534
0.000283,1500,1395.089906
0.000286,1500,1399.309044
0.000293,1500,1405.953154
0.00029,1500,1412.494117
0.000287,1500,1416.619836
0.000295,1500,1423.216324
0.000289,1500,1429.733575
0.000289,1500,1436.357872
0.000285,1500,1440.418754
0.000289,1500,1447.055727
0.000288,1500,1453.609466
0.000294,1500,1460.042689
0.000291,1500,1464.116376
0.000297,1500,1470.321319
0.000288,1500,1476.47873
0.000292,1500,1483.167108
0.000285,1500,1487.331229
0.000291,1500,1493.975304
0.00029,1500,1500.600255
0.000289,1500,1504.759184
0.000289,1500,1511.317153
0.000289,1500,1517.924225
0.000294,1500,1524.601647
0.000294,1500,1528.762556
0.000286,1500,1535.237077
0.000297,1500,1541.730428
0.000292,1500,1548.27365
0.000293,1500,1552.399304
0.000291,1500,1559.011371
0.00029,1500,1565.554095
0.000286,1500,1572.042885
0.000296,1500,1576.187733
0.000294,1500,1582.771598
0.000292,1500,1589.431802
0.000295,1500,1593.513767
0.000286,1500,1600.166466
0.000294,1500,1606.783447
0.000294,1500,1613.379185
0.000286,1500,1617.285349
0.000291,1500,1623.957098
0.000293,1500,1630.600116
0.000291,1500,1637.108519
0.000291,1500,1641.202952
0.000286,1500,1647.95286
0.000285,1500,1654.468377
0.00029,1500,1661.081325
0.000292,1500,1665.181606
0.000293,1500,1671.659933
0.000293,1500,1678.31422
0.00029,1500,1682.319991
0.000292,1500,1688.624563
0.000287,1500,1695.174134
0.000291,1500,1701.692975
0.000291,1500,1705.852864
0.000293,1500,1712.338059
0.000292,1500,1718.96048
0.00029,1500,1725.290025
0.000287,1500,1729.545062
0.000291,1500,1736.185169
0.000282,1500,1742.727209
0.000286,1500,1746.905507
0.000291,1500,1753.372847
0.000291,1500,1759.996772
0.000291,1500,1766.571397
0.000288,1500,1770.587991
0.000291,1500,1777.15496
0.00029,1500,1783.828283
0.000293,1500,1790.473593
0.000289,1500,1794.331944
0.000292,1500,1800.854227
0.000294,1500,1806.775217
0.000292,1500,1813.348266
0.00029,1500,1817.45911
0.000291,1500,1824.132872
0.000293,1500,1830.710617
0.000294,1500,1834.70525
0.000291,1500,1841.334765
0.000292,1500,1847.853093
0.000291,1500,1854.442893
0.000294,1500,1858.728813
0.000292,1500,1865.161394
0.00029,1500,1871.725804
0.000294,1500,1878.345851
0.000292,1500,1882.431601
0.000295,1500,1889.170696
0.000292,1500,1895.582187
0.000297,1500,1902.173206
0.000295,1500,1906.221838
0.000292,1500,1912.654168
0.000296,1500,1919.176475
0.000295,1500,1923.187844
0.000289,1500,1929.818734
0.000294,1500,1936.363568
0.000298,1500,1942.916428
0.000296,1500,1947.110084
0.000297,1500,1953.49435
0.00029,1500,1960.15593
0.000295,1500,1966.689293
0.000291,1500,1970.977711
0.000295,1500,1977.595822
0.000297,1500,1984.156944
0.000296,1500,1990.877875
0.000296,1500,1994.984482
0.000292,1500,2001.72237
0.000286,1500,2008.288707
0.000297,1500,2012.332309
0.000292,1500,2019.026299
0.000291,1500,2025.446696
0.000289,1500,2032.123001
0.000293,1500,2036.102251
0.000292,1500,2042.699786
0.000292,1500,2049.314914
0.000294,1500,2055.516111
0.000292,1500,2059.562222
0.000296,1500,2065.822946
0.000291,1500,2072.430454
0.00029,1500,2078.967375
0.000294,1500,2083.029584
0.000294,1500,2089.634107
0.000294,1500,2096.23257
0.000296,1500,2100.218581
0.000293,1500,2106.723069
0.000294,1500,2113.222135
0.000294,1500,2119.749569
0.000294,1500,2123.957679
0.000295,1500,2130.470819
0.000288,1500,2136.909395
0.000295,1500,2143.460777
0.000295,1500,2147.675057
0.000296,1500,2154.305545
0.000293,1500,2160.875915
0.000293,1500,2165.010279
0.000296,1500,2171.557753
0.000293,1500,2178.164293
0.000294,1500,2184.449888
0.000292,1500,2188.622407
0.000294,1500,2195.156942
0.000292,1500,2201.711434
0.000295,1500,2208.274451
0.000293,1500,2212.472614
0.000295,1500,2219.170301
0.000295,1500,2225.620988
0.000294,1500,2232.271229
0.000295,1500,2236.453258
0.000296,1500,2242.86552
0.000295,1500,2249.492909
0.000294,1500,2253.517416
0.000297,1500,2260.214944
0.000295,1500,2266.815485
0.000295,1500,2273.47033
0.000296,1500,2277.653636
0.000294,1500,2284.127374
0.000297,1500,2290.753137
0.000294,1500,2297.33941
0.000298,1500,2301.204964
0.000295,1500,2307.835341
0.000297,1500,2314.235734
0.000299,1500,2320.897563
0.000295,1500,2324.963558
0.000294,1500,2331.480299
0.000296,1500,2338.155964
0.000295,1500,2342.136516
0.000295,1500,2348.604288
0.000297,1500,2355.234834
0.000293,1500,2361.877017
0.000294,1500,2366.051087
0.000295,1500,2372.629093
0.000296,1500,2379.276358
0.000296,1500,2385.700554
0.000296,1500,2389.966839
0.000295,1500,2396.60885
0.000295,1500,2402.912774
0.000299,1500,2409.315396
0.000297,1500,2413.517665
0.000296,1500,2420.092852
0.000298,1500,2426.636242
0.000297,1500,2430.627496
0.000294,1500,2436.970137
0.000296,1500,2442.909902
0.000297,1500,2449.680967
0.000296,1500,2453.831702
0.000297,1500,2460.450284
0.000294,1500,2467.092561
0.000296,1500,2473.666893
0.000295,1500,2477.774354
0.000295,1500,2484.38361
0.000298,1500,2490.941579
0.000297,1500,2497.471156
0.000297,1500,2501.615871
0.000295,1500,2508.26729
0.000296,1500,2514.584862
0.000296,1500,2518.821682
0.000298,1500,2525.085853
0.000298,1500,2531.701006
0.000297,1500,2538.375738
0.000297,1500,2542.611605
0.000297,1500,2549.297688
0.000296,1500,2555.748431
0.000297,1500,2562.531883
0.000298,1500,2566.762582
0.000296,1500,2573.258745
0.000297,1500,2579.872754
0.0003,1500,2584.003245
0.000297,1500,2590.487835
0.000298,1500,2596.660254
0.000298,1500,2603.068933
0.000292,1500,2607.106722
0.000296,1500,2613.478031
0.000296,1500,2619.811243
0.000296,1500,2626.451438
0.000297,1500,2630.645773
0.000295,1500,2637.213458
0.000297,1500,2643.585156
0.000298,1500,2650.196906
0.000297,1500,2654.412259
0.000297,1500,2661.116222
0.0003,1500,2667.79115
0.000299,1500,2671.806332
0.000293,1500,2678.315155
0.000298,1500,2684.834007
0.000297,1500,2691.55384
0.000294,1500,2695.783185
0.000296,1500,2702.270742
0.000296,1500,2708.877783
0.000296,1500,2715.467328
0.000297,1500,2719.663374
0.000296,1500,2726.239111
0.000296,1500,2732.696563
0.000297,1500,2739.369944
0.000297,1500,2743.578732
0.000295,1500,2750.272221
0.000295,1500,2756.721567
0.000298,1500,2760.608637
0.0003,1500,2767.320889
0.000296,1500,2773.770373
0.000296,1500,2780.562375
0.000299,1500,2784.713612
0.000294,1500,2791.208678
0.000297,1500,2797.943008
0.000293,1500,2804.533385
0.000299,1500,2808.791345
0.000296,1500,2815.410041
0.000296,1500,2821.517915
0.000297,1500,2828.180209
0.000293,1500,2832.296
0.000299,1500,2839.008873
0.000294,1500,2845.557518
0.000297,1500,2849.596464
0.000297,1500,2856.124883
0.000297,1500,2862.689662
0.000291,1500,2869.33256
0.000299,1500,2873.579422
0.0003,1500,2880.078281
0.000299,1500,2886.649416
0.000298,1500,2893.18823
0.000299,1500,2897.374368
0.000299,1500,2904.03614
