explained_variance,policy_loss,value_loss,fps,ep_reward_mean,ep_len_mean,time_elapsed,approxkl,total_timesteps,clipfrac,serial_timesteps,n_updates,policy_entropy
0.8071824461221695,-0.0023460041,1.0281022e-08,262,0.00028591836734693875,1500.0,272.9517707824707,0.0035200554,73728,0.026611328,73728,36,1.1887127
0.8471212536096573,-0.008078369,2.3614273e-08,251,0.00028578,1500.0,280.7678635120392,0.0067277267,75776,0.086523436,75776,37,1.1731555
0.7285871207714081,-0.0015676232,1.2941787e-07,258,0.0002856470588235294,1500.0,288.9109754562378,0.004427397,77824,0.046289064,77824,38,1.1657753
0.8866575732827187,-0.0026641681,7.903308e-07,268,0.00028543396226415093,1500.0,296.8409504890442,0.0043345913,79872,0.050927736,79872,39,1.1698928
0.8521600812673569,-0.0050734347,9.3311655e-07,255,0.00028537037037037035,1500.0,304.4640624523163,0.005804739,81920,0.07392578,81920,40,1.1799372
0.8863890841603279,-0.007970706,1.0519402e-07,252,0.00028534545454545455,1500.0,312.48371958732605,0.009275851,83968,0.13134766,83968,41,1.1948029
0.8114059865474701,-0.0049823215,2.290592e-07,262,0.00028533333333333335,1500.0,320.5852506160736,0.0057404363,86016,0.072949216,86016,42,1.2127508
0.7520463317632675,-0.008383786,2.5554561e-07,268,0.0002853793103448276,1500.0,328.4001452922821,0.007943963,88064,0.10620117,88064,43,1.2374511
0.5515329241752625,-0.0021106787,2.146308e-06,256,0.0002854333333333333,1500.0,336.04288125038147,0.0053780153,90112,0.06977539,90112,44,1.2589023
0.4977208971977234,-0.007745991,5.816611e-08,250,0.0002854590163934426,1500.0,344.0262656211853,0.0072195306,92160,0.0980957,92160,45,1.2779877
0.33587270975112915,-0.00799344,8.871875e-07,269,0.00028551612903225806,1500.0,352.1967935562134,0.00696311,94208,0.09672852,94208,46,1.286103
0.5475924015045166,-0.00030995993,1.8628312e-07,260,0.0002856875,1500.0,359.8085227012634,0.0040453556,96256,0.046923827,96256,47,1.2917107
0.7020755708217621,-0.0029584826,1.5076159e-06,264,0.0002858461538461539,1500.0,367.68873620033264,0.0048199757,98304,0.055126954,98304,48,1.3021078
0.6806299388408661,-0.004660039,2.926703e-07,252,0.00028598484848484855,1500.0,375.4433329105377,0.005773579,100352,0.07094727,100352,49,1.3070654
0.7648973166942596,-0.0070763133,3.3834033e-06,261,0.00028629411764705885,1500.0,383.5512888431549,0.006778434,102400,0.091748044,102400,50,1.305074
0.8281951695680618,-0.004732132,7.608922e-08,254,0.00028647826086956527,1500.0,391.3979926109314,0.0058040773,104448,0.06933594,104448,51,1.2999367
0.838691845536232,-0.00575587,1.2848638e-07,256,0.00028664285714285716,1500.0,399.44952726364136,0.007011133,106496,0.0921875,106496,52,1.296116
0.8158104717731476,-0.0008375047,5.1452946e-07,250,0.00028706944444444445,1500.0,407.424015045166,0.0038849462,108544,0.043261718,108544,53,1.3021252
0.7227749228477478,-0.00058147934,1.3777494e-06,257,0.00028731506849315067,1500.0,415.59715580940247,0.002279421,110592,0.016992187,110592,54,1.3047214
0.7889531552791595,-0.0050107623,4.760158e-07,254,0.00028777333333333333,1500.0,423.5588791370392,0.0063583045,112640,0.079882815,112640,55,1.2963037
0.49717146158218384,-0.001713753,2.5807358e-06,253,0.00028805263157894736,1500.0,431.60349702835083,0.0044283415,114688,0.05263672,114688,56,1.2969067
0.6697814762592316,-0.0055801813,4.9850235e-07,259,0.0002882857142857143,1500.0,439.6755805015564,0.0077893147,116736,0.10727539,116736,57,1.2977691
0.7801911383867264,-0.004834937,4.4846985e-07,262,0.00028878481012658224,1500.0,447.58398604393005,0.0062128208,118784,0.08408203,118784,58,1.3046873
0.8310534507036209,-0.0027551777,2.1735755e-06,257,0.0002890625,1500.0,455.3896412849426,0.0044756057,120832,0.052441407,120832,59,1.3171939
0.7463889718055725,-0.0026882284,2.318352e-07,259,0.000289320987654321,1500.0,463.346804857254,0.003834358,122880,0.041796874,122880,60,1.3138098
0.6031076014041901,5.540636e-06,1.4434231e-05,264,0.0002899638554216868,1500.0,471.2440528869629,0.002882582,124928,0.027148437,124928,61,1.303004
0.6070460081100464,-0.0015501697,2.2393458e-07,253,0.0002903809523809524,1500.0,478.9976975917816,0.004175241,126976,0.047753908,126976,62,1.2853038
0.6253567636013031,-0.00049498375,1.5135274e-07,255,0.00029099999999999997,1500.0,487.0843813419342,0.0027467438,129024,0.022900391,129024,63,1.2668319
0.7063648700714111,-0.005417601,7.271818e-08,258,0.00029131034482758616,1500.0,495.1105263233185,0.0032261652,131072,0.031152343,131072,64,1.2440603
0.706368625164032,-0.0006942867,1.2223924e-07,256,0.00029154545454545454,1500.0,503.0420112609863,0.003848777,133120,0.041748047,133120,65,1.2367632
0.8541114181280136,0.00011845164,8.33126e-08,255,0.00029204444444444445,1500.0,511.0271942615509,0.0030567157,135168,0.03251953,135168,66,1.2480042
0.6109961867332458,-0.0025383467,7.9258587e-07,249,0.0002923406593406593,1500.0,519.0604782104492,0.0037971507,137216,0.04121094,137216,67,1.254896
0.7920768707990646,-0.0017950559,4.6284163e-07,254,0.00029266304347826084,1500.0,527.2763230800629,0.003935402,139264,0.042822264,139264,68,1.256278
0.7954227477312088,-0.0016290114,4.7249955e-06,259,0.0002931914893617021,1500.0,535.3305206298828,0.0041809184,141312,0.043261718,141312,69,1.252071
0.8382591009140015,-0.0023051167,2.1621547e-06,258,0.0002934421052631579,1500.0,543.2323408126831,0.0046836445,143360,0.056933593,143360,70,1.2591305
0.6080115139484406,-0.0007741703,6.6408774e-07,256,0.00029367708333333334,1500.0,551.1676268577576,0.0032477467,145408,0.035205077,145408,71,1.2845796
0.33097946643829346,-0.00011402807,2.6534153e-07,252,0.00029414285714285713,1500.0,559.1603512763977,0.0033457626,147456,0.03227539,147456,72,1.2972963
